"Id";"Oznaczenie";"Pakiet";"Liczba";"Oznaczenie";"Dostawca i numer artykułu";
1;"J91,J103";"PinSocket_1x08_P2.54mm_Vertical";2;"Conn_01x08_Female";;;
2;"Y51";"Crystal_HC49-4H_Vertical";1;"Crystal";;;
3;"D21,D31,D15,D101,D11,D12";"D_A-405_P7.62mm_Horizontal";6;"SB260";;;
4;"C42,C41,C12,C31,C43,C23,C13";"C_Disc_D5.0mm_W2.5mm_P2.50mm";7;"100nF";;;
5;"D41";"LED_D3.0mm";1;"LED (yellow 3mm)";;;
6;"C14,C24";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"22uF h=9mm tantal";;;
7;"U11";"TO-220-3_Horizontal_TabDown";1;"L7805";;;
8;"L41";"L_Axial_L6.6mm_D2.7mm_P10.16mm_Horizontal_Vishay_IM-2";1;"10uH";;;
9;"R32";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"330";;;
10;"R21";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"100";;;
11;"J11";"BarrelJack_Wuerth_6941xx301002";1;"Barrel_Jack_Switch";;;
12;"C52,C51";"C_Disc_D3.0mm_W2.0mm_P2.50mm";2;"22pF";;;
13;"S31";"SW_Tactile_SPST_Angled_PTS645Vx39-2LFS";1;"SW_Push";;;
14;"J102";"PinSocket_1x06_P2.54mm_Vertical";1;"Conn_01x06_Female";;;
15;"J101";"PinSocket_1x10_P2.54mm_Vertical";1;"Conn_01x10_Female";;;
16;"J105";"IDC-Header_2x05_P2.54mm_Horizontal";1;"Conn_02x05_Top_Bottom";;;
17;"D22,D13";"LED_D3.0mm";2;"LED (red 3mm)";;;
18;"U4";"DIP-28_W7.62mm";1;"ATmega328-P";;;
19;"J104";"PinSocket_1x02_P2.54mm_Vertical";1;"Conn_01x02_Female";;;
20;"R41";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"25";;;
21;"C11";"Capacitor_D8_H12_P3.5_Angle";1;"470uF";;;
22;"R31";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"10k";;;
23;"BT1";"PinSocket_1x02_P2.54mm_Vertical";1;"Battery";;;
24;"SW11";"wlacznik katowy";1;"SW_DIP_x01";;;
25;"R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"190";;;
26;"U21";"TO-220-3_Horizontal_TabUp";1;"LM1117-3.3";;;
